# Rime user dictionary
#@/db_name	clover.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	25487
#@/user_id	08739937-06a1-48ea-b483-a1d82a4c18b3
Epsilon 	Ε	c=1 d=1.21929e-09 t=25487
wei lao shi 	危老师	c=3 d=0.00527306 t=25487
wei le 	为了	c=3 d=1.1063e-12 t=25487
wei le 	围了	c=1 d=2.77169e-23 t=25487
wei li 	为例	c=4 d=1.62441e-19 t=25487
wei liu kong 	微流控	c=1 d=7.0177e-11 t=25487
wei ming 	威名	c=0 d=1.90229e-37 t=25487
wei ming da 	威名大	c=1 d=1.91184e-36 t=25487
wei neng 	未能	c=1 d=1.33707e-35 t=25487
wei ni 	喂你	c=1 d=0.367879 t=25487
wei qi 	围棋	c=11 d=0.057843 t=25487
wei qi shao nian 	围棋少年	c=5 d=1.2094e-09 t=25487
wei ruan 	微软	c=2 d=0.985112 t=25487
wei sha 	为啥	c=12 d=0.23448 t=25487
wei shan 	为善	c=2 d=6.19118e-29 t=25487
wei shang 	为上	c=1 d=1.58894e-36 t=25487
wei shen me 	为什么	c=9 d=8.48514e-09 t=25487
wei sheng 	卫生	c=2 d=1.32561e-22 t=25487
wei sheng 	微升	c=1 d=0.000833398 t=25487
wei sheng wu 	微生物	c=9 d=1.5255e-20 t=25487
wei sheng wu xue 	微生物学	c=4 d=3.76399e-35 t=25487
wei sheng wu zi yuan 	微生物资源	c=1 d=2.08542e-29 t=25487
wei tong 	未通	c=0 d=3.88402e-23 t=25487
wei tong guo 	未通过	c=1 d=3.90349e-22 t=25487
wei xian 	危险	c=1 d=1.49406e-47 t=25487
wei xin 	微信	c=4 d=2.93198e-08 t=25487
wei zhi 	为止	c=1 d=5.53743e-18 t=25487
wei zhi 	位置	c=8 d=0.00150344 t=25487
wei zhi ma 	位置吗	c=1 d=4.98024e-35 t=25487
wen 	文	c=2 d=5.52408e-19 t=25487
wen 	稳	c=1 d=3.56013e-27 t=25487
wen 	问	c=21 d=6.30253e-06 t=25487
wen ben 	文本	c=6 d=0.0150708 t=25487
wen dang 	文档	c=4 d=2.09458e-24 t=25487
wen dang bi jiao 	文档比较	c=1 d=2.0948e-23 t=25487
wen dao 	问到	c=1 d=3.49331e-10 t=25487
wen ding 	稳定	c=4 d=1.00497e-21 t=25487
wen guo 	问过	c=2 d=4.20123e-20 t=25487
wen he 	吻合	c=1 d=6.2047e-33 t=25487
wen jia bao 	温家宝	c=1 d=8.56998e-09 t=25487
wen jian 	文件	c=66 d=0.131192 t=25487
wen jian jia 	文件夹	c=2 d=2.78899e-08 t=25487
wen jian ming 	文件名	c=2 d=1.56018e-27 t=25487
wen ku 	文库	c=4 d=3.10357e-30 t=25487
wen le 	问了	c=11 d=8.25002e-08 t=25487
wen ni 	问你	c=5 d=5.65865e-05 t=25487
wen nin 	问您	c=3 d=8.63075e-10 t=25487
wen qing chu 	问清楚	c=1 d=9.21517e-10 t=25487
wen ta 	问他	c=3 d=0.145148 t=25487
wen ti 	问题	c=36 d=0.267192 t=25487
wen wen 	问问	c=31 d=0.628178 t=25487
wen wo 	问我	c=2 d=1.29446e-07 t=25487
wen xian 	文献	c=24 d=2.92415e-17 t=25487
wen yi xia 	问一下	c=6 d=1.38026e-19 t=25487
wen zhang 	文章	c=24 d=7.01672e-09 t=25487
wen zhao guan 	文昭关	c=1 d=5.61807e-41 t=25487
wen zhong 	文中	c=1 d=1.51221e-42 t=25487
wen zi 	文字	c=3 d=9.70832e-36 t=25487
wen zi 	蚊子	c=1 d=4.45615e-21 t=25487
wh io v 	whiov	c=1 d=7.73412e-37 t=25487
win 	win	c=7 d=0.730368 t=25487
windo 	window	c=2 d=3.87588e-23 t=25487
window s 	windows	c=4 d=1.17524e-34 t=25487
wo 	我	c=466 d=6.06477 t=25487
wo ba 	我把	c=3 d=8.06953e-08 t=25487
wo ba 	我爸	c=1 d=2.79041e-14 t=25487
wo ba ta 	我把他	c=1 d=8.10998e-07 t=25487
wo bang ni 	我帮你	c=1 d=4.13487e-23 t=25487
wo ben 	我本	c=0 d=1.02952e-49 t=25487
wo ben di 	我本地	c=1 d=1.03466e-48 t=25487
wo bu 	我不	c=0 d=4.17288e-14 t=25487
wo bu gen 	我不跟	c=1 d=4.1938e-13 t=25487
wo bu shi 	我不是	c=1 d=2.36188e-23 t=25487
wo bu xin 	我不信	c=2 d=0.0620385 t=25487
wo cai 	我猜	c=2 d=7.45795e-13 t=25487
wo chang wan 	我唱完	c=1 d=2.89523e-36 t=25487
wo cong 	我从	c=1 d=5.69019e-44 t=25487
wo dao 	我导	c=5 d=0.271856 t=25487
wo de 	我的	c=27 d=0.775805 t=25487
wo de shi 	我的事	c=1 d=1.28534e-12 t=25487
wo dou 	我都	c=2 d=1.20629e-30 t=25487
wo dou mei ting shuo guo 	我都没听说过	c=1 d=4.56339e-36 t=25487
wo dou xiang 	我都想	c=1 d=2.54142e-32 t=25487
wo e le 	我饿了	c=1 d=5.12667e-23 t=25487
wo fa 	我发	c=0 d=3.6541e-11 t=25487
wo fa gei ni 	我发给你	c=1 d=3.67242e-10 t=25487
wo gan jue 	我感觉	c=2 d=1.23431e-06 t=25487
wo ge ren 	我个人	c=1 d=2.49025e-28 t=25487
wo gei 	我给	c=2 d=6.77633e-11 t=25487
wo gei ni 	我给你	c=3 d=5.359e-15 t=25487
wo gen 	我跟	c=4 d=1.14275e-11 t=25487
wo hai 	我还	c=1 d=6.20681e-37 t=25487
wo hai mei 	我还没	c=1 d=2.78274e-11 t=25487
wo hai shi 	我还是	c=2 d=3.09134e-13 t=25487
wo hai yao 	我还要	c=1 d=3.22638e-16 t=25487
wo hai zai 	我还在	c=1 d=2.72616e-34 t=25487
wo hao 	我好	c=2 d=5.05911e-14 t=25487
wo he 	我和	c=3 d=1.64761e-23 t=25487
wo jiu 	我就	c=17 d=0.0199431 t=25487
wo jiu shi 	我就是	c=2 d=1.02142e-14 t=25487
wo jiu shuo 	我就说	c=1 d=1.39742e-25 t=25487
wo jiu xiang 	我就想	c=1 d=4.89093e-28 t=25487
wo jue de 	我觉得	c=7 d=1.13969e-05 t=25487
wo kan 	我看	c=2 d=2.78653e-27 t=25487
wo kan kan 	我看看	c=4 d=5.15641e-29 t=25487
wo kan le 	我看了	c=2 d=1.3712e-08 t=25487
wo kan xing 	我看行	c=1 d=4.06349e-24 t=25487
wo kan yi xia 	我看一下	c=1 d=6.02647e-43 t=25487
wo ke yi 	我可以	c=1 d=5.38402e-11 t=25487
wo lai 	我来	c=5 d=9.45388e-09 t=25487
wo lai le 	我来了	c=1 d=4.31843e-34 t=25487
wo le 	我了	c=1 d=4.27546e-34 t=25487
wo ma 	我妈	c=1 d=2.64109e-14 t=25487
wo mai 	我买	c=1 d=2.32545e-46 t=25487
wo mei you 	我没有	c=1 d=6.52396e-35 t=25487
wo men 	我们	c=48 d=0.0522285 t=25487
wo men zhe 	我们这	c=1 d=2.49932e-12 t=25487
wo ming bai 	我明白	c=1 d=4.78333e-31 t=25487
wo na 	我那	c=1 d=4.3837e-34 t=25487
wo na you 	我哪有	c=1 d=4.17359e-15 t=25487
wo pa 	我怕	c=3 d=2.91839e-12 t=25487
wo qu 	我去	c=5 d=0.000792752 t=25487
wo rang 	我让	c=1 d=4.04942e-42 t=25487
wo shi 	我是	c=7 d=1.57357e-09 t=25487
wo shi shi 	我试试	c=1 d=3.52711e-35 t=25487
wo shuo 	我说	c=1 d=2.45234e-24 t=25487
wo shuo de 	我说的	c=1 d=1.62275e-19 t=25487
wo ting 	我听	c=1 d=2.33559e-09 t=25487
wo wen 	我问	c=0 d=7.83482e-43 t=25487
wo wen le 	我问了	c=3 d=7.32764e-36 t=25487
wo wen wen 	我问问	c=2 d=6.33164e-26 t=25487
wo wu 	我屋	c=2 d=2.88592e-26 t=25487
wo wu li 	我屋里	c=1 d=2.89975e-25 t=25487
wo xi huan 	我喜欢	c=1 d=8.52405e-34 t=25487
wo xian 	我先	c=3 d=1.35078e-08 t=25487
wo xiang 	我想	c=2 d=2.61294e-35 t=25487
wo xiang xiang 	我想象	c=1 d=5.67472e-12 t=25487
wo xiang yao 	我想要	c=1 d=8.70691e-19 t=25487
wo xu yao 	我需要	c=1 d=1.98438e-33 t=25487
wo ye 	我也	c=10 d=0.00379151 t=25487
wo ye qu 	我也去	c=1 d=3.93522e-29 t=25487
wo ye shi 	我也是	c=6 d=4.8453e-07 t=25487
wo ye ye 	我爷爷	c=1 d=9.51686e-36 t=25487
wo yi jing 	我已经	c=2 d=1.43601e-22 t=25487
wo yong 	我用	c=0 d=7.13948e-38 t=25487
wo yong de 	我用的	c=1 d=7.17537e-37 t=25487
wo you 	我有	c=1 d=1.36384e-33 t=25487
wo you ge 	我有个	c=1 d=5.57296e-05 t=25487
wo you sha 	我有啥	c=1 d=6.45903e-35 t=25487
wo you xie 	我有些	c=1 d=4.55407e-12 t=25487
wo zai 	我再	c=12 d=0.000143073 t=25487
wo zai 	我在	c=4 d=9.61281e-07 t=25487
wo zai ne 	我在呢	c=1 d=1.02319e-05 t=25487
wo zai xiang 	我在想	c=1 d=2.12863e-35 t=25487
wo zhe 	我这	c=7 d=0.0348203 t=25487
wo zhe bian 	我这边	c=1 d=1.64671e-15 t=25487
wo zhe jiu qu 	我这就去	c=1 d=0.349938 t=25487
wo zhi dao 	我知道	c=3 d=1.59061e-19 t=25487
wo zi ji 	我自己	c=1 d=1.02633e-41 t=25487
wo zou le 	我走了	c=1 d=0.00167826 t=25487
wo zuo zhu 	我做主	c=1 d=1.29178e-12 t=25487
word 	word	c=2 d=6.07771e-25 t=25487
wu 	五	c=2 d=6.13983e-21 t=25487
wu 	伍	c=1 d=3.15234e-44 t=25487
wu 	吴	c=4 d=8.50727e-10 t=25487
wu 	屋	c=3 d=0.00544705 t=25487
wu 	无	c=10 d=5.69249e-19 t=25487
wu chang qu 	武昌区	c=3 d=1.09925e-25 t=25487
wu ci 	五次	c=1 d=1.7798e-47 t=25487
wu da 	武大	c=1 d=6.318e-40 t=25487
wu dao 	舞蹈	c=1 d=3.14555e-41 t=25487
wu dao 	误导	c=1 d=1.84576e-34 t=25487
wu dian ban 	五点半	c=1 d=3.83806e-29 t=25487
wu fa 	无法	c=21 d=0.0188763 t=25487
wu fa deng lu 	无法登录	c=1 d=2.42415e-35 t=25487
wu gan 	戊肝	c=2 d=1.66326e-44 t=25487
wu ge ren 	五个人	c=1 d=8.58892e-35 t=25487
wu guan 	无关	c=2 d=0.0116786 t=25487
wu han 	武汉	c=29 d=0.0186233 t=25487
wu han bing du 	武汉病毒	c=1 d=8.30064e-45 t=25487
wu han bing du yan jiu suo 	武汉病毒研究所	c=1 d=2.82567e-44 t=25487
wu han shi 	武汉市	c=3 d=1.09377e-25 t=25487
wu jia zhi bao 	无价之宝	c=1 d=9.30588e-37 t=25487
wu jie 	误解	c=1 d=1.70067e-12 t=25487
wu ke 	吴珂	c=25 d=0.00390718 t=25487
wu lao 	吴老	c=1 d=1.60781e-18 t=25487
wu lao shi 	吴老师	c=5 d=7.95583e-09 t=25487
wu li 	屋里	c=6 d=0.109335 t=25487
wu li 	物理	c=1 d=2.98806e-25 t=25487
wu li qu nao 	无理取闹	c=1 d=2.85368e-13 t=25487
wu liao 	无聊	c=2 d=0.0222592 t=25487
wu liu 	物流	c=1 d=4.44299e-45 t=25487
wu pen ji 	乌盆计	c=1 d=1.1614e-25 t=25487
wu qiao 	吴巧	c=0 d=4.46465e-15 t=25487
wu qiao li 	吴巧丽	c=2 d=9.78549e-10 t=25487
wu ran 	污染	c=5 d=4.46786e-31 t=25487
wu shi 	无事	c=1 d=9.38342e-17 t=25487
wu sun 	无损	c=1 d=1.23343e-27 t=25487
wu suo wei 	无所谓	c=4 d=2.53065e-07 t=25487
wu te ding 	无特定	c=1 d=1.00188e-22 t=25487
wu wai hu 	无外乎	c=1 d=1.36149e-42 t=25487
wu wang su 	无网速	c=1 d=6.13772e-23 t=25487
wu xian 	无线	c=1 d=5.4898e-34 t=25487
wu xian yi jin 	五险一金	c=1 d=4.11929e-08 t=25487
wu xiao ru 	吴小如	c=1 d=3.20974e-14 t=25487
wu xing gan yan 	戊型肝炎	c=8 d=1.43329e-29 t=25487
wu yi 	无疑	c=1 d=3.09724e-06 t=25487
wu zhi 	物质	c=1 d=1.04799e-22 t=25487
wu zhi yong 	伍智勇	c=5 d=1.88793e-35 t=25487
wu zhong 	物种	c=19 d=7.46228e-27 t=25487
wu zhu 	捂住	c=1 d=8.17452e-12 t=25487
wu zi li 	屋子里	c=1 d=1.82932e-17 t=25487
xi 	喜	c=2 d=2.91529e-29 t=25487
xi 	戏	c=2 d=8.70394e-15 t=25487
xi 	析	c=1 d=1.10856e-36 t=25487
xi 	洗	c=1 d=2.75833e-25 t=25487
xi 	系	c=2 d=1.11024e-23 t=25487
xi 	细	c=3 d=2.15563e-36 t=25487
xi bao 	细胞	c=5 d=3.61651e-06 t=25487
xi bao bi 	细胞壁	c=1 d=6.98248e-40 t=25487
xi bao diao wang 	细胞凋亡	c=1 d=3.85468e-21 t=25487
xi bao lei 	细胞类	c=0 d=2.95734e-22 t=25487
xi bao lei xing 	细胞类型	c=1 d=2.97215e-21 t=25487
xi bao li 	细胞里	c=1 d=1.3403e-34 t=25487
xi bao zhong 	细胞中	c=1 d=4.56105e-30 t=25487
xi da pu ben 	喜大普奔	c=1 d=3.10789e-17 t=25487
xi fu 	媳妇	c=1 d=1.5039e-36 t=25487
xi huan 	喜欢	c=12 d=1.26866e-05 t=25487
xi jie 	细节	c=1 d=4.61488e-21 t=25487
xi jin ping 	习近平	c=1 d=7.9111e-09 t=25487
xi jun 	细菌	c=4 d=1.82349e-22 t=25487
xi ku 	西裤	c=1 d=2.02309e-25 t=25487
xi la 	希腊	c=1 d=1.02354e-09 t=25487
xi lao 	细佬	c=1 d=1.11453e-11 t=25487
xi lie 	系列	c=2 d=1.01188e-43 t=25487
xi ma 	戏码	c=4 d=4.2033e-10 t=25487
xi ma la ya 	喜马拉雅	c=1 d=8.37834e-37 t=25487
xi ming 	戏名	c=1 d=2.76784e-36 t=25487
xi pi 	西皮	c=3 d=1.43045e-35 t=25487
xi pi kuai ban 	西皮快板	c=1 d=9.44492e-35 t=25487
xi qu 	戏曲	c=1 d=2.28305e-06 t=25487
xi su 	习俗	c=1 d=7.12112e-36 t=25487
xi tong 	系统	c=38 d=0.11288 t=25487
xi tong fa yu 	系统发育	c=5 d=9.66633e-38 t=25487
xi wang 	希望	c=4 d=1.9606e-06 t=25487
xi xi xi 	嘻嘻嘻	c=1 d=3.00101e-17 t=25487
xi ye 	细爷	c=1 d=7.25137e-14 t=25487
xi yin 	吸引	c=1 d=2.0736e-21 t=25487
xia 	下	c=8 d=0.00265708 t=25487
xia 	吓	c=1 d=2.43e-34 t=25487
xia 	夏	c=1 d=3.66544e-17 t=25487
xia ban 	下班	c=5 d=6.60677e-07 t=25487
xia ci 	下次	c=2 d=1.14174e-30 t=25487
xia de 	吓得	c=1 d=0.0468877 t=25487
xia de wo 	吓得我	c=1 d=7.7716e-35 t=25487
xia fen 	下分	c=1 d=9.42854e-44 t=25487
xia hao 	下好	c=1 d=2.67262e-36 t=25487
xia hui 	下回	c=6 d=4.07761e-06 t=25487
xia ji 	下机	c=2 d=2.86301e-22 t=25487
xia la 	下拉	c=1 d=2.37898e-49 t=25487
xia lai 	下来	c=1 d=7.05385e-42 t=25487
xia ling ying 	夏令营	c=3 d=1.57547e-05 t=25487
xia mian 	下面	c=2 d=7.71416e-36 t=25487
xia mo 	夏末	c=1 d=1.96905e-30 t=25487
xia ren 	虾仁	c=0 d=7.66241e-46 t=25487
xia ren zhu xin 	虾仁猪心	c=1 d=7.70081e-45 t=25487
xia shan 	下山	c=0 d=1.23726e-35 t=25487
xia shan qu 	下山去	c=1 d=1.24346e-34 t=25487
xia tiao 	下调	c=2 d=4.46125e-34 t=25487
xia wan 	下完	c=1 d=2.4183e-36 t=25487
xia wo 	吓我	c=3 d=2.00161e-17 t=25487
xia wu 	下午	c=14 d=0.147875 t=25487
xia xia lai 	下下来	c=1 d=3.58907e-34 t=25487
xia xiang 	瞎想	c=1 d=1.95524e-06 t=25487
xia yi bo 	下一波	c=1 d=1.46832e-19 t=25487
xia zai 	下载	c=30 d=7.8749e-09 t=25487
xia zhou 	下周	c=4 d=2.75095e-17 t=25487
xian 	先	c=44 d=1.97421 t=25487
xian 	县	c=1 d=7.50558e-37 t=25487
xian 	现	c=0 d=2.20452e-07 t=25487
xian 	线	c=2 d=4.78682e-29 t=25487
xian ba 	先把	c=4 d=0.000173384 t=25487
xian bu xie 	先不写	c=1 d=1.40658e-43 t=25487
xian cheng 	现成	c=1 d=1.37567e-17 t=25487
xian cheng 	线程	c=2 d=1.44224e-30 t=25487
xian dai xi 	现代戏	c=3 d=7.48921e-17 t=25487
xian de 	显得	c=2 d=6.23157e-25 t=25487
xian di 	贤弟	c=2 d=9.783e-37 t=25487
xian fei 	先飞	c=1 d=2.7947e-32 t=25487
xian gen 	先跟	c=1 d=1.17207e-15 t=25487
xian he 	先和	c=1 d=3.92372e-24 t=25487
xian ka 	显卡	c=1 d=2.87588e-16 t=25487
xian kan 	先看	c=1 d=1.3854e-41 t=25487
xian kan kan 	先看看	c=2 d=2.9769e-10 t=25487
xian lai 	先来	c=1 d=1.864e-32 t=25487
xian mu 	羡慕	c=1 d=0.00108628 t=25487
xian qian 	先前	c=1 d=5.38751e-48 t=25487
xian qu 	先去	c=1 d=1.32425e-10 t=25487
xian sheng 	先生	c=1 d=1.07822e-33 t=25487
xian shi 	显示	c=19 d=2.95281e-08 t=25487
xian shi 	现实	c=1 d=2.24363e-07 t=25487
xian shu 	闲书	c=1 d=9.44012e-29 t=25487
xian su 	限速	c=1 d=1.75335e-18 t=25487
xian tu 	线图	c=0 d=8.15408e-31 t=25487
xian wang 	贤王	c=0 d=6.83003e-46 t=25487
xian wo 	嫌我	c=1 d=3.65274e-35 t=25487
xian xiang 	现象	c=1 d=1.08679e-38 t=25487
xian you 	现有	c=2 d=1.80706e-20 t=25487
xian yu 	咸鱼	c=1 d=2.68146e-16 t=25487
xian zai 	现在	c=65 d=0.600502 t=25487
xian zhi 	限制	c=2 d=1.76215e-18 t=25487
xian zhu 	显著	c=4 d=1.28578e-16 t=25487
xian zhu de 	显著地	c=1 d=4.07679e-33 t=25487
xian zhu xing 	显著性	c=2 d=7.31531e-29 t=25487
xiang 	像	c=2 d=6.55129e-42 t=25487
xiang 	向	c=4 d=2.56369e-42 t=25487
xiang 	想	c=35 d=0.0226205 t=25487
xiang 	相	c=1 d=3.35109e-21 t=25487
xiang 	箱	c=3 d=9.15664e-30 t=25487
xiang 	项	c=1 d=7.16555e-21 t=25487
xiang 	香	c=1 d=8.04432e-29 t=25487
xiang bi 	想必	c=1 d=1.23662e-28 t=25487
xiang bi 	相比	c=2 d=3.28866e-35 t=25487
xiang bin 	祥斌	c=1 d=1.034e-11 t=25487
xiang bu xiang 	想不想	c=1 d=5.79035e-14 t=25487
xiang chi 	想吃	c=1 d=7.2689e-13 t=25487
xiang chu 	相处	c=2 d=3.15269e-05 t=25487
xiang da 	想打	c=1 d=6.48808e-29 t=25487
xiang dang 	相当	c=1 d=4.72592e-36 t=25487
xiang dao 	想到	c=1 d=6.98984e-23 t=25487
xiang dui 	相对	c=3 d=1.94647e-12 t=25487
xiang fa 	想法	c=5 d=1.13216e-07 t=25487
xiang feng 	相逢	c=1 d=7.32028e-37 t=25487
xiang gang 	香港	c=1 d=6.10172e-42 t=25487
xiang gong 	相公	c=1 d=1.886e-23 t=25487
xiang guan 	相关	c=27 d=7.2302e-09 t=25487
xiang guan xing 	相关性	c=4 d=1.65598e-20 t=25487
xiang hao 	想好	c=2 d=1.19823e-10 t=25487
xiang hu 	相互	c=1 d=2.68749e-13 t=25487
xiang inw qing shao nian 	想inward青少年	c=1 d=8.31388e-05 t=25487
xiang lai 	向来	c=1 d=1.52694e-09 t=25487
xiang le 	想了	c=1 d=4.01404e-27 t=25487
xiang lian 	湘莲	c=1 d=4.5864e-08 t=25487
xiang liang 	向量	c=1 d=5.93268e-35 t=25487
xiang mai 	想买	c=1 d=4.41031e-17 t=25487
xiang mu 	项目	c=5 d=2.47185e-29 t=25487
xiang mu bu 	项目部	c=1 d=4.64607e-12 t=25487
xiang na 	想那	c=1 d=1.05432e-34 t=25487
xiang qi 	想起	c=1 d=4.24822e-47 t=25487
xiang qi lai 	想起来	c=1 d=3.19211e-08 t=25487
xiang rang ni 	想让你	c=1 d=3.73566e-05 t=25487
xiang ri kui 	向日葵	c=5 d=0.166406 t=25487
xiang shi 	像是	c=1 d=2.41919e-11 t=25487
xiang shui 	香水	c=2 d=0.0204591 t=25487
xiang tai duo 	想太多	c=0 d=3.78607e-46 t=25487
xiang tong 	相同	c=2 d=6.30297e-12 t=25487
xiang wai 	向外	c=1 d=6.12397e-26 t=25487
xiang wang 	向往	c=1 d=9.03116e-08 t=25487
xiang wo 	像我	c=1 d=4.01827e-10 t=25487
xiang wo 	想我	c=1 d=2.00993e-07 t=25487
xiang xi 	详细	c=1 d=1.03166e-43 t=25487
xiang xian tu 	想线图	c=2 d=8.98731e-31 t=25487
xiang xian tu 	箱线图	c=3 d=8.85621e-29 t=25487
xiang xiang 	想想	c=1 d=8.13348e-41 t=25487
xiang xiang 	想象	c=1 d=6.53212e-13 t=25487
xiang xie 	想写	c=1 d=4.64671e-43 t=25487
xiang xin 	相信	c=2 d=3.39769e-07 t=25487
xiang yao 	想要	c=2 d=2.27761e-33 t=25487
xiang yao 	香夭	c=1 d=0.818731 t=25487
xiang ying 	相应	c=2 d=3.03397e-46 t=25487
xiang zhe 	想着	c=6 d=1.40593e-34 t=25487
xiao 	小	c=5 d=0.0880699 t=25487
xiao 	笑	c=1 d=1.06495e-05 t=25487
xiao 	筱	c=0 d=6.71348e-20 t=25487
xiao ba 	肖八	c=1 d=2.94859e-45 t=25487
xiao chuan 	哮喘	c=1 d=2.13675e-21 t=25487
xiao de 	笑得	c=1 d=1.08104e-05 t=25487
xiao fei 	消费	c=1 d=5.80415e-42 t=25487
xiao guo 	效果	c=2 d=1.292e-14 t=25487
xiao hong 	小洪	c=0 d=4.10782e-35 t=25487
xiao hong shan 	小洪山	c=8 d=0.00086722 t=25487
xiao hong shan zhong qu 	小洪山中区	c=2 d=8.23367e-38 t=25487
xiao hua 	消化	c=1 d=3.74012e-19 t=25487
xiao hua xi tong 	消化系统	c=1 d=3.96788e-38 t=25487
xiao huo ban 	小伙伴	c=1 d=0.215456 t=25487
xiao jia huo 	小家伙	c=1 d=1.39263e-14 t=25487
xiao jiang 	小将	c=1 d=1.53402e-34 t=25487
xiao lang hao 	小狼毫	c=11 d=6.12814e-34 t=25487
xiao liang kou 	小两口	c=1 d=4.2608e-23 t=25487
xiao liu 	小刘	c=1 d=3.15648e-23 t=25487
xiao lv 	效率	c=1 d=1.07193e-23 t=25487
xiao niang zi 	小娘子	c=1 d=1.04909e-05 t=25487
xiao pin 	小品	c=1 d=3.26658e-44 t=25487
xiao ping 	小屏	c=1 d=8.87524e-09 t=25487
xiao rong 	笑容	c=2 d=9.17199e-35 t=25487
xiao sa 	潇洒	c=1 d=5.78739e-08 t=25487
xiao san sheng 	筱三胜	c=1 d=6.74714e-19 t=25487
xiao shao ye 	小少爷	c=1 d=1.11704e-08 t=25487
xiao sheng 	小声	c=1 d=8.68414e-47 t=25487
xiao shi 	小事	c=1 d=0.860708 t=25487
xiao shi 	小时	c=3 d=0.0113091 t=25487
xiao shu 	小鼠	c=1 d=1.07451e-22 t=25487
xiao shuo 	小说	c=6 d=2.19258e-18 t=25487
xiao si 	肖四	c=1 d=2.93389e-45 t=25487
xiao wu 	小伍	c=9 d=0.00883687 t=25487
xiao xi 	消息	c=13 d=0.656858 t=25487
xiao xie 	小写	c=1 d=2.12054e-49 t=25487
xiao xiong 	小熊	c=1 d=0.00103847 t=25487
xiao xiu 	小修	c=1 d=5.63472e-17 t=25487
xiao you xi 	小游戏	c=1 d=7.54859e-16 t=25487
xiao yu 	小于	c=6 d=0.00362464 t=25487
xiao yuan jia 	小冤家	c=1 d=6.45025e-19 t=25487
xiao zhan 	小站	c=1 d=3.59212e-44 t=25487
xiao zhang 	校长	c=1 d=4.48383e-35 t=25487
xie 	些	c=5 d=6.625e-10 t=25487
xie 	写	c=16 d=5.62992e-07 t=25487
xie de 	写得	c=2 d=8.8614e-20 t=25487
xie de 	写的	c=1 d=1.70531e-44 t=25487
xie fa 	写法	c=1 d=7.01512e-36 t=25487
xie ge 	些个	c=1 d=1.18854e-32 t=25487
xie guo qu 	写过去	c=1 d=3.02067e-35 t=25487
xie hao 	写好	c=1 d=2.99316e-45 t=25487
xie hao ba 	写好吧	c=1 d=8.88884e-27 t=25487
xie hu 	邪乎	c=1 d=5.5614e-10 t=25487
xie la 	斜拉	c=1 d=1.24177e-18 t=25487
xie le 	写了	c=5 d=1.20818e-19 t=25487
xie lou 	泄露	c=3 d=5.36171e-47 t=25487
xie qing chu 	写清楚	c=1 d=2.45017e-43 t=25487
xie ru 	写入	c=1 d=1.33948e-09 t=25487
xie sha 	谢啥	c=1 d=1.108e-30 t=25487
xie shou 	携手	c=1 d=3.15218e-07 t=25487
xie tiao 	协调	c=2 d=2.06649e-10 t=25487
xie wan 	写完	c=4 d=1.69171e-27 t=25487
xie xie 	歇歇	c=1 d=0.0862936 t=25487
xie xie 	谢谢	c=42 d=1.67583e-08 t=25487
xie yi 	协议	c=1 d=7.6045e-44 t=25487
xie you jian 	写邮件	c=2 d=2.73092e-41 t=25487
xie yu 	泄欲	c=1 d=6.34772e-07 t=25487
xie zai 	卸载	c=8 d=0.980199 t=25487
xie zuo 	写作	c=2 d=9.45809e-22 t=25487
xin 	信	c=1 d=2.53969e-24 t=25487
xin 	心	c=1 d=3.00407e-29 t=25487
xin 	新	c=24 d=0.0724752 t=25487
xin 	芯	c=1 d=9.80667e-36 t=25487
xin bing yuan 	新病原	c=1 d=7.87966e-21 t=25487
xin bu guo 	信不过	c=1 d=4.32299e-17 t=25487
xin de 	新的	c=4 d=3.01399e-09 t=25487
xin fei 	心扉	c=1 d=1.16604e-13 t=25487
xin guan 	新冠	c=14 d=8.37887e-09 t=25487
xin hao 	信号	c=3 d=5.50643e-22 t=25487
xin hao tai 	信号肽	c=1 d=4.83881e-49 t=25487
xin ji 	新机	c=1 d=1.63421e-43 t=25487
xin jiang 	新疆	c=1 d=4.15489e-21 t=25487
xin jiao 	信教	c=1 d=2.98289e-34 t=25487
xin ku 	辛苦	c=1 d=6.585e-27 t=25487
xin pian 	芯片	c=1 d=3.69397e-20 t=25487
xin ruan 	心软	c=0 d=1.0596e-35 t=25487
xin shang 	欣赏	c=1 d=4.54077e-07 t=25487
xin shou ji 	新手机	c=1 d=4.71773e-45 t=25487
xin si 	心思	c=1 d=1.01318e-07 t=25487
xin sui 	心随	c=1 d=6.96326e-37 t=25487
xin wang 	新网	c=0 d=1.0288e-41 t=25487
xin wang zhan 	新网站	c=2 d=2.52341e-40 t=25487
xin xi 	信息	c=25 d=2.25468e-05 t=25487
xin xi xue 	信息学	c=4 d=2.57278e-29 t=25487
xin xian 	新鲜	c=1 d=0.00491728 t=25487
xin xue 	心血	c=1 d=5.31018e-25 t=25487
xin xue guan 	心血管	c=1 d=3.92841e-38 t=25487
xing 	型	c=14 d=0.00831245 t=25487
xing 	性	c=2 d=0.0237541 t=25487
xing 	星	c=1 d=4.17217e-11 t=25487
xing 	行	c=7 d=5.33226e-15 t=25487
xing 	醒	c=2 d=1.74883e-17 t=25487
xing ba 	行吧	c=12 d=3.39707e-24 t=25487
xing bie 	性别	c=2 d=0.199888 t=25487
